English,Telugu
COME HERE.,ఇక్కడ వస్తాయి.
"Mommy, look.","మమ్మీ, చూడండి."
"Hey, Weinselstein.","హే, Weinselstein."
You liked it?,మీరు దీన్ని ఇష్టపడ్డారు?
"- Yeah, down.","- అవును, డౌన్."
You're hittin' on rock bottom out in that pouring rain,మీరుhittinఉన్నాయి'రాక్అడుగున ఆ పోయడం వర్షం లో అవుట్
You took me for granted.,మీరు మంజూరు కోసం పట్టింది.
"You come all the way home, and I don't get a kiss?","మీరు అన్ని మార్గం హోమ్, వచ్చి నేను ఒక ముద్దు పొందలేము?"
"You know, I--I was wondering...",మీరు నేను తెలుసు - నేను wondering జరిగినది...
Are you celebrating tonight?,మీరు రాత్రి వేడుక?
"We got a good one, too. it goes like this.","మేము చాలా, ఒక మంచి ఇచ్చారు. ఈ వంటి వెళ్తాడు."
I thought this was a spy we were talking about.,నేను ఈ మేము గురించి మాట్లాడుతూ ఒక గూఢచారి భావించారు.
Tiger Five's gone down.,టైగర్ ఐదు డౌన్ పోయిందో లో.
[ CAR HORNS HONK ],[కారు కొమ్ములు హంక్]
So...what would you like to talk about?,సో... ఏమి మీరు వంటి గురించి మాట్లాడటానికి ఏమైంది?
( rhythmic thudding ),(thuddingలయ)
Flowers!,పువ్వులు!
I'm gonna run to the bathroom.,నేను బాత్రూమ్ అమలు గొన్న వద్ద.
"Well, I'd like to have that drink with you, Wanda.","Well, నేను, మీరు తో ఆ పానీయం కలిగి వండ కోరుకుంటున్నారో."
Suicide 35 off the top rock.,టాప్ రాక్ ఆఫ్ ఆత్మహత్య 35.
The bees are buzzin' in the tree,తేనెటీగలుచెట్టులో buzzin'ఉన్నాయి
I'm just enjoying the water.,నేను నీటి ఆనందించే చేస్తున్నాను.
I know you have to go.,నేను మీరు వెళ్ళడానికి కలిగి తెలుసు.
"Oh, please.",దయచేసి.
"I mean, it makes no sense.","నా ఉద్దేశ్యం , అది అస్సలు అర్ధమే."
Cerberus.,సెర్బెరస్ను.
"Oh, you're such a good guy.","ఓహ్, మీరు ఒక మంచి వ్యక్తి ఉంటాయి."
So that's what you came down here to tell me?,సో మీరు చెప్పు నాకు ఇక్కడ డౌన్ వచ్చింది ఏమిటి?
"Hey, what the fuck is going on?","హే, నేను ఏమి జరుగుతుందో?"
"- Oh, thank God.","- ఓహ్, దేవుని ధన్యవాదాలు."
Well done.,అభినందనలు.
and the something.,మరియు ఏదో.
Time I gave him?,సమయం నేను అతనిని ఇచ్చింది?
I could love you.,నేను నిన్ను ప్రేమిస్తున్నాను కాలేదు.
What are you saying to me?,మీరు నాకు ఏమంటున్నారు?
"But, Rama, even the strength of the pack is no match for the tiger.","కానీ, రామ, ప్యాక్ పులి ఎటువంటి మ్యాచ్ ఉంటుంది యొక్క బలం."
Don't trust anybody.,ఎవరైనా నమ్మవద్దు.
You ever bit the inside of your cheek?,మీరు ఎప్పుడూ మీ చెంప లోపలి బిట్?
[ LAUGHS ],[నవ్వుతూ]
Summertime. Oh.,సమ్మర్టైం.
And your influence hasn't been exactly--,మరియు మీ ప్రభావం సరిగ్గా లేదు...
I--I can't.,నేను - నేను కాదు.
- Awesome.,బర్ట్: బ్రహ్మాండం.
- You're Nicole.,- మీరు నికోల్ ఉన్నాయి.
No more flights to Charleston till tomorrow.,రేపు వరకు చార్లెస్టన్ సంఖ్య మరింత విమానాలు.
[BURT SCREAMING],[బర్ట్ అరుపు]
ROADBLOCK:,రోడ్బ్లాక్:
I'm just not sure exactly how I fit into it.,నేను దానిని సరిపోని ఎలా ఖచ్చితంగా కాదు.
Touching down.,డౌన్ తాకుట.
Roma make it?,రోమా తయారు?
What I think is that we're just getting started.,నేను భావిస్తున్నాను మేము కేవలం ప్రారంభ విధానం అని ఉంది.
"Oh, that's just what I should do, but I'm not.","నేను చెయ్యాలి కేవలం ఏమిటి, కానీ నేను కాదు."
Mouse!,మౌస్!
Because that is what a magical friendship is all about.,.
"Well, I do eat a bit of seafood.","బాగా, l మత్స్య ఒక బిట్ తినడానికి లేదు."
You motherfuckers.,మీరు motherfuckers.
I'm playing up there.,నేను అక్కడ అప్ ప్లే చేస్తున్నాను.
"Yeah, that's the lady.","అవును, ఆ మహిళ ఉంది."
Class-Meet?,క్లాస్ మీట్?
"It's just kind of a nickname I give people that, you know, have a distinct trait or physical feature.","మీకు తెలిసిన ఒక ప్రత్యేక లక్షణం లేదా భౌతిక లక్షణాన్ని కలిగి నేను, ప్రజలు ఇవ్వాలని ఒక మారుపేరు కేవలం రకం."
"All right, look, let'sjust kick a few field goals.","అన్ని కుడి, లుక్, let'sjust కిక్ కొన్ని ఫీల్డ్ గోల్."
"I could feel it all the way in the back row and now you're just a sad, pathetic shell of what you once were and I don't want any part of it.","నేను తిరిగి వరుసగా అన్ని మార్గం భావిస్తున్నాను కాలేదు... ... మరియు ఇప్పుడు మీరు ఒకసారి దేనిని కేవలం ఒక విచారంగా, ఉత్సుకత షెల్... ... మరియు నేను దాని ఏదైనా భాగం చెయ్యకూడదని."
Let's make them suspicious.,యొక్క వాటిని అనుమానాస్పద తయారు చేద్దాము
"- Please, not you, too.","- దయచేసి, మీరు, చాలా."
(MAN TALKING ON TV),(MANTVON టాకింగ్)
"But it's an emergency, Colonel.","కానీ అత్యవసర, కల్నల్ ఉంది."
"Sir, all ground units are in position.","సర్, అన్ని గ్రౌండ్ యూనిట్లు స్థానం లో ఉన్నాయి."
Fuck him.,అతనిని ఇబ్బంది.
- You're such a good singer.,- మీరు ఉన్నాయి అటువంటి మంచి గాయకుడు.
(KILROY EXCLAIMS IN ANNOYANCE),(కిల్రో వేదన IN అరిచారు)
I hope Ellen's feeling better.,నేను ఎల్లెన్ యొక్క ఫీలింగ్ బాగా ఆశిస్తున్నాము.
- 'Cause you're a little bitch.,- మీరు కొద్దిగా బిచ్ ఎందుకంటే.
"Yo, we can do this.","యో,మేముచేయవచ్చు."
I- - Oh- - It's too big around.,ఇది చుట్టూ చాలా పెద్దది.
I was bringing your mother a new fan for the summer.,నేను వేసవి కోసం మీ తల్లి ఒక కొత్త అభిమాని తీసుకురావడానికి జరిగినది.
It's bad luck killing a cat.,దురదృష్టంగా ఒక పిల్లి చంపేందుకు.
"- Okay, five feet.","- సరే, ఐదు అడుగుల."
This is Kappa Eta Sigma property.,ఈ కప్పు ఈటా సిగ్మా ఆస్తి ఉంది.
We got some time to make up.,మేము చేయడానికి కొంత సమయం వచ్చింది.
"I think MAF, then WEKA.","L MAF, అప్పుడు WEKA అనుకుంటున్నాను."
This is Kappa Eta Sigma property!,ఈ కప్పు ఈటా సిగ్మా సంపద!
We can practice.,మేము అభ్యాసం చేయవచ్చు.
Patch him through.,ద్వారా ప్యాచ్ అతనికి.
Dab it down.,DAB అది డౌన్.
"Well, he's dead now.","బాగా, అతను మరణించాడు ఉంది."
You came back.,మీరు తిరిగి వచ్చింది.
It's that time of Toto Riina and Carleonesi.,ఇది పూర్తిగా Riina మరియు Carleonesi ఆ సమయం.
You quit?,మీరు విడిచి?
But don't talk in ranks.,కానీ శ్రేణుల మాట్లాడను.
- Henry! Help me!,నాకు సహాయం చెయ్యండి!
I'm not blinking!,నేను మెరిసేకాదు
"What you know about that, son?","మీరు గురించి తెలుసు, కుమారుడు?"
Pull it off.,ఇది ఆఫ్ పుల్.
60 minutes.,60 నిమిషాల.
Not even curious?,కూడా ఆసక్తికరమైన?
I've got one shot at this.,నేను ఈ ఒక షాట్ పాడించి.
I said slowly.,నేను నెమ్మదిగా అన్నాడు.
"DNA confirmed, it's Jack.","DNAఅదిజాక్ఉంది, ధ్రువీకరించారు ."
I've been sewing since I was Becky's age.,నేను బెక్కి యొక్క వయస్సు ఉంది నుండి కుట్టు చేశారు.
It's very similar to the one on the hooker that was with Greely.,ఇది Greely తో అని వేశ్యల ఒక చాలా పోలి ఉంటుంది.
"All that we love, we will destroy.",మేము ప్రేమ అన్ని... ... మేము నాశనం చేస్తుంది.
You got a preference?,మీరు ప్రాధాన్యత వచ్చింది?
"Anyway, that's none of your business.","ఏమైనా, మీ వ్యాపార ఎవరూ ఉంది."
- It's good there.,- అక్కడ మంచి. అవును.
- Detective?,- మహిళ: డిటెక్టివ్?
My car won't start.,.? . నా కారు మొదలు కాదు
Tell Arch and them niggas come up now?,"చెప్పండి ఆర్చ్ మరియు వాటిని ఇప్పుడు పైకి వచ్చి niggas, హుహ్?"
"Lord, I'm coming","లార్డ్,నేనురాబోయేచేస్తున్నాను"
- Take him down!,- అతనికి డౌన్ టేక్!
I wouldn't say that.,నేను ఆ చెప్పటానికి కాదు.
"You know, self-hypnosis.","మీరు స్వీయ వశీకరణ, తెలుసా?"
Do you want to remember... or do you want to forget?,మీరు గుర్తుంచుకోవాలి మీరు అనుకుంటున్నారా... లేదా. ..
Like you always have.,ఎప్పుడూ ఇలా.
"You know, self-hypnosis?","మీరు స్వీయ వశీకరణ, తెలుసా?"
Is it?,ఇది
Heh heh heh.,Heh heh heh.
"Okay, it's not...","- సరే, అది కాదు..."
The jungle VIP,అడవిVIP
I have nothing to do with them.,నేను వారితో ఉండదు.
"- This is, uh, where...","- ఈ, ఊ, పేరు - - l తెలుసు."
The hair serves to remind us of our biology.,జుట్టు మా జీవశాస్త్రం గుర్తు పనిచేస్తుంది.
He could always throw a party.,అతను ఎల్లప్పుడూ ఒక పార్టీ త్రో చేయగలిగాడు.
- ( bleating ) - ( Experience screams ),- (Bleating) - (ఎక్స్పీరియన్స్ అరుపులతో)
Uh-oh! Secret table.,సీక్రెట్ పట్టిక.
GET THE CAR.,CAR GET.
They have nothing with my business to do.,వారు నా వ్యాపారంలో ఏమీ.
Did somebody just buy firewood from you?,మీరు కొనుగోలు ఫైర్ ఎవరైనా?
Good thing I found him.,నేను అతనిని కనుగొన్నారు గుడ్ విషయం.
A Joe flag.,ఒక జో జెండా.
And don't spend your time lookin' around for something you want that can't be found.,మరియు మీ సమయం ఖర్చు లేదు మీరు కనుగొనబడలేదు ఆ మీరు ఏదో కోసం చుట్టూ లుకింగ్.
"Watch it, watch it.","చూడండి, అది చూడటానికి."
"That's right again, smarty-pants.",కుడి మళ్ళీ అంటే smarty-ప్యాంటు.
Louis is ready.,లూయిస్ సిద్ధంగా ఉంది.
After the way you felt about him?,మీరు అతని గురించి భావించాడు మార్గం తర్వాత?
"NO, YOU WERE THE JOB.","లేదు, మీరు JOB ఉన్నాయి."
is this gonna take long?,ఈ సమయం పడుతుంది గొన్న ls?
- We're getting hit!,- మేము హిట్ పొందడానికి!
Drive.,డ్రైవ్.
"If you've got any questions, feel free to contact me.","మీరుఏవైనాప్రశ్నలుపాడించిఉంటే , నన్ను సంప్రదించడానికి సంకోచించకండి"
INTO MY BEAUTIFUL FUCKING HOME?,నేను మీ వంటి ఒట్టు TWO LET తెలుసా?
- You sure had us worried.,- మీరు ఖచ్చితంగా మాకు భయపడి చేసింది.
But I need you to get on the horn and get all your top clients and really push the real estate growth superfund.,కానీ నేను మీరు కొమ్ము న పొందుటకు మరియు అన్ని పొందాలి మీ టాప్ క్లయింట్లు మరియు నిజంగా నిజమైన ఎశ్త్రేట్ పెరుగుదల ఫండ్ పుష్.
- My base chakra.,- నా బేస్ చక్రం.
Bagheera. I'm getting a little sleepy.,"Bagheera, నేను కొద్దిగా నిద్ర వస్తుంది పొందుతున్నాను."
So I quit.,నేను విడిచి సో.
why should they complain when they lose money on the market?,వారు మార్కెట్లో డబ్బు నష్టపోయినప్పుడు ఎందుకు ఫిర్యాదు ఉండాలి?
- You said you couldn't get coffee with me because you had a 3:30 appointment with a Mr. Renaldo.,- ఆ మంచి.
I met your friend Vito.,నేను మీ స్నేహితుడు వీటో కలుసుకున్నారు.
- - Likewise.,- అదే విధంగా.
Alakazam!,Alakazam!
"I'm not worried, but this place makes me nervous.","నేను, భయపడి లేదు కానీ ఈ స్థలం నాకు నాడీ చేస్తుంది."
"Por favor Gracias, Senor!",నం
Why should you?,ఎందుకు మీరు తప్పక?
THAT'S THE LAST TIME I WANNA HEAR YOU SAY MY NAME.,చివరిసారి ఐ వన్నా నా పేరు సే హియర్.
"- What's that you hit him with, son?","- మీరు కుమారుడు, అతనిని హిట్ ఏమిటి?"
- It's none of your business.,- ఇది మీ వ్యాపార ఎవరూ ఉంది.
"Look Jim, I'm not dealing with your investment.","లుక్ జిమ్, నేను మీ పెట్టుబడి వ్యవహరించే లేదు."
ALL RIGHT?,సరే
- My child is home.,- నా పిల్లల ఉంది.
It's a lot of paperwork.,ఇది వ్రాతపని చాలా ఉంది.
Be a good G.l. Joe and drop the gun.,ఒక మంచి జి.ఐ. ఉండండి జో మరియు తుపాకీ డ్రాప్.
"Scully, is that you?",స్కుల్లీని ఆ మీరు?
I worked her out this morning.,నేను ఈ ఉదయం ఆమె పనిచేసింది.
Left it contaminated.,ఇదికలుషితమైనఎడమ.
That's how they do it in Hollyweird.,- వారు Hollyweird లో దీన్ని ఎలా
Do you feel what that says?,మీరుచెప్పేభావిస్తున్నారు
"Oh, I wonder who taught him that.","ఓహ్, నేను అతనిని బోధించిన ఆశ్చర్యానికి."
I am not with you.,నేను మీతో కాదు.
And I just really need to find this thing.,మరియునేనునిజంగా ఈ విషయం కనుగొనేందుకు అవసరం
(MUFFLED) Simon? !,(MUFFLED) సైమన్?
Jim!,జిమ్!
"Well, that's just the point.",ఆ కేవలం విషయం.
"Actually, that's probably highly-toxic genetic material.","అసలైన, ఆ బహుశా అత్యంత విష జన్యు పదార్థం."
[ MUSIC FROM RECORD PLAYER ],[రికార్డుఆటగాడునుండిసంగీతం]
You want a blast?,మీరు ఒక పేలుడు అనుకుంటున్నారా?
Joe Command to covert operations.,. రహస్య కార్యకలాపాలకు జో కమాండ్
It's nuclear hardened.,ఇది గట్టిపడ్డ అణు ఉంది.
"I was laying on the beach, y'all.","నేను, బీచ్ y'all వేసాయి జరిగినది."
Till I'm grown,నేనుపెరిగినఉన్నంతవరకు
Reporting for Channel 7 News.,ఛానల్ 7 వార్తలు రిపోర్టింగ్.
"So, what else?","సో, ఏమి?"
There ain't no road she don't eat for lunch.,ఆమె అర్హత కోసం తినడానికి లేదు ఏ రహదారి లేదు.
"- Hey, let me smell it.","- నాకు అది వాసన వీలు, హే, Ooh."
- Here you go.,- ఇక్కడ మీరు వెళ్ళండి.
How ya doing?,ఎలా య చేయడం? హాంక్:
That's so cool.,కానీ అలా చల్లని ఉంది.
-Dave?,- డేవ్?
What are all these words?,ఈ పదాలు ఏవి?
Are you sure?,మీరు నిశ్చయించుకున్నారా?
That's a lot of cash.,నగదు చాలా ఉంది.
"No, it's the Gigglesworth massacre.","సంఖ్య, అది Gigglesworth ఊచకోత ఉంది."
Everyone's on Titan now.,అందరూ ఇప్పుడు టైటాన్ మీద.
Shall I call an ambulance?,నేను అంబులెన్స్ పిలవాలి?
GEAC Remove from premises.,GEAC: ప్రాంగణంలో నుండి తొలగించండి.
That wouldn't be cool.,చల్లని కాదు ఆ.
They have chicken chow...,- వారు చికెన్ చౌ కలిగి...
"You're gettin' it, kid.","మీరు, 'పిల్ల అది గేట్టిన్ ఉంటాయి."
We want to take Wise Counsel online and international.,మేము వైజ్ కౌన్సెల్ ఆన్లైన్ మరియు అంతర్జాతీయ తీసుకోవాలని అనుకుంటున్నారా.
"Burt, are you here?","బర్ట్, మీరు ఇక్కడ ఉన్నారు?"
(SHOUTS),(అరుస్తాడు)
All the guys in our family are fugly.,మా కుటుంబం లో అన్ని అబ్బాయిలు fugly ఉన్నాయి.
"Hey, that's my laptop!","హే, నా లాప్టాప్ ఉంది!"
We can take them on the right.,మేము వాటిని కుడివైపు పట్టవచ్చు.
"""and I'll show you the future."" (WHISPERING)",""" మరియు నేను మీరు భవిష్యత్తులో కనిపిస్తాయి ""(గుసగుస)"
My husband?,నా భర్త?
It was actually kind of fun.,ఇది రకమైన ఫన్ వాస్తవానికి.
I do not remember I have been involved in an accident.,నేను నేను ఒక ప్రమాదానికి చేశారు గుర్తుంచుకోవాలి లేదు.
To scare us.,మాకు బెదరింపు.
Negative on the four sentries.,నాలుగు sentries న ప్రతికూల.
- IT'S CHEESE.,- ఇది CHEESE
"I'm gonna have your job, tough guy.","నేను మీ ఉద్యోగం, కఠినమైన వ్యక్తి కలిగి గొన్న వద్ద."
Every bottle in East Tennessee,తూర్పు టేనస్సీ లో ప్రతి సీసా
"Goddamn, that's the worst thing I ever saw in my life.","గాడ్డామ్, నేను ఎప్పుడూ నా జీవితంలో చూడని నీచమైన ఉంది."
Nonsense.,నాన్సెన్స్.
And I handled it.,మరియు నేను నిర్వహించింది.
"This is it, y'all.",ఈ వై 'ఆల్ ఇది.
Sword.,కత్తి.
"WHAT, YOU WANNA COME VISIT ME, DO YOU?","ఏమిటి, మీరు వన్నా, ME సందర్శిస్తారు కం?"
This is WGN Chicago.,ఈ ఉంది WGN చికాగో.
"Allow me, bruv, I didn't touch her.","Bruv, నాకు అనుమతించు, నేను ఆమె తాకే లేదు."
And now taking your time you open it.,ఇప్పుడు... ... మీ సమయం తీసుకొని... ... మీరు దీన్ని తెరవండి.
But the Super Clean will cost a stack,కానీసూపర్క్లీన్ఒకస్టాక్ఖర్చు
"Came here 15 years ago, passed the Louisiana Bar.","15 సంవత్సరాల క్రితం ఇక్కడ కేం, లూసియానా బార్ ఆమోదించింది."
For me it's a job.,నాకు అది ఒక పని.
"More difficult, but you can do it, right?","మరింత కష్టం, కానీ మీరు కుడి అది చేయవచ్చు?"
"Ava, clear Judith's schedule.","అవా, స్పష్టమైన జుడిత్ యొక్క షెడ్యూల్."
"But don't relax, boys, still put holes in you.","కానీ, అబ్బాయిలు విశ్రాంతి లేదు, ఇప్పటికీ మీరు రంధ్రాలు చాలు."
You've reached my phone.,మీరు నా ఫోన్ చేరుకున్నారు.
Ordnance live and loaded.,ఆర్డినెన్స్ ప్రత్యక్ష మరియు లోడ్.
"( buzzes, beeps )","(బజ్లు, beeps)"
And you see that green comb?,మరియు మీరు ఆ ఆకుపచ్చ దువ్వెన చూడండి?
- DOWN THE TRACK?,- TRACK వెనక్కు?
It's pan-roasted tilapia with squash blossoms.,ఇది స్క్వాష్ పూల తో పాన్-వేయించు tilapia ఉంది.
(MAN CHUCKLING),(MAN CHUCKLING)
12 billion.,12 బిలియన్.
- Clear it right up.,- కుడి అప్ క్లియర్.
Nobody likes you.,ఎవరూ మీరు ఇష్టపడ్డారు.
You want a calendar?,మీరు ఒక క్యాలెండర్ అనుకుంటున్నారా?
"Copy, Tech-49, you're cleared.","కాపీ, టెక్-49, మీరు క్లియర్ ఉంటాయి."
I need a bigger bed.,నేను ఒక పెద్ద మంచం అవసరం.
"And if she did, you wouldn't get it anymore.","ఆమె చేస్తే మరియు, మీరు ఇకపై అది పొందుటకు లేదు."
I would never hurt you.,నేను మీరు బాధించింది ఎప్పటికీ.
They were trying to catch me.,వారు నాకు పట్టుకోవాలని ప్రయత్నించారు.
Now punch me in the face.,ఇప్పుడు ముఖం నాకు గుద్దుతాను.
"Personally, I like to try to avoid a war.","వ్యక్తిగతంగా, నేను ఒక యుద్ధాన్ని తొలగించడానికి ప్రయత్నిస్తారని ."
Come on. Scoot back.,తిరిగి దుముకుతూ వచ్చు.
"Baby, come home.","బేబీ, ఇంటికి వచ్చి."
I just thought they were playing with sperm or something.,L కేవలం వారు వీర్య ఏదో తో ప్లే భావించి.
'The Naked Maja'.,'నేకెడ్ మజా'.
"You know what, Charlotte?","మీరు ఏమి, షార్లెట్ తెలుసు?"
He'll be more than ready.,అతను సిద్ధంగా కంటే ఉంటాం.
HUH?,అహ్?
♪ fading fast ♪,♪క్షీనతకిఫాస్ట్ఒక'
You're Scully.,మీరు స్కల్లి ఉన్నాయి.
(SCOOTER ENGINE REVS),(స్కూటర్ ENGINE REVS)
"So you got lady Sad Flutes, too?","సో మీరు చాలా, lady సాడ్ వేణువులు వచ్చింది?"
Careful with his guitar.,తన గిటార్ తో జాగ్రత్తగా.
Look around.,చుట్టూ చూడండి.
Deeper...,లోతైన...
JUST YOU AND ME.,జస్ట్ యు అండ్ మీ.
Today it is worth:,నేడు ఇది విలువ:
Look around!,చుట్టూ చూడండి!
"Noogie, noogie, noogie.","Noogie, noogie, noogie."
"Thank you, dear.","ప్రియమైన, ధన్యవాదాలు."
( gearshift clicks ),(gearshiftక్లిక్)
Is that hurting you?,మీరు దెబ్బతీస్తుందని?
In the other car.,ఇతర కారు .
"You scared of that, ain't you?","ఆ విషయంలో భయపడుతుంటారు, మీరు లేదు?"
Cerberus has been deactivated.,సెర్బెరస్ను క్రియారహితం చెయ్యబడింది.
- YOU THINK I WON'T?,- మీరు నేను భావిస్తున్నాను?
Dream of us.,డ్రీం.
I didn't want to connect.,నేను కనెక్ట్ కోరుకోలేదు.
- Help me! Help me!,- నాకు సహాయం చెయ్యండి!
You get extra special hip-hop dance tonight.,మీరు అదనపు ప్రత్యేక హిప్ హాప్ డాన్స్ టునైట్ పొందుటకు.
"Well, he ain't running behind no more.","బాగా, అతను మరింత వెనుక పారే లేదు."
Are you happy?,మీరు సంతోషంగా ఉన్నారా?
That's what life is about!,గురించి జీవితాన్ని ఏమిటి ఆ !
A theme?,- ఒక థీమ్?
- Mr. President.,- మిస్టర్ అధ్యక్షుడు.
"Mr. Wells, look at me.","మిస్టర్ వెల్స్, చూపాలని."
I don't wanna ever see you again.,ఐ వన్నా ఎప్పుడూ మీరు మళ్ళీ చూడలేదు.
Done.,పూర్తయింది.
I don't want to have to pixelate your face.,నేను పిక్సలేట్ మీ ముఖం కలిగి వద్దు.
Tony looks really good.,టోనీ నిజంగా బాగుంది.
I'd like to have a word with you.,నేను మీరు ఒక పదం మీరు కోరుకుంటున్నారో.
Should clear up your worms.,మీ పురుగులు నివృత్తి ఉండాలి.
Like it's never gonna end.,ఇదిఇలాముగింపుగొన్నఎప్పుడూ
"Okay, I guess I'm Thicky-Thick.","- సరే, నేను Thicky-చిక్కటి am అంచనా."
He's bald!,అతను బట్టతల ఉంది!
"Oh, you could tell, huh?","ఓహ్, మీరు చెప్పండి కాలేదు, హుహ్?"
Kia ora.,కియా వార.
- It's getting hot in here,- ఇది ఇక్కడ వేడి పెరిగిపోతుంది
You reckon there is any coffee to be had in there?,మీరు అక్కడ వాటిని ఏ కాఫీ ఉంది పరిగణనలోకి?
- A theme?,- ఒక థీమ్?
"But, of course, you already knew that.","కానీ, కోర్సు యొక్క, మీరు ఇప్పటికే తెలుసు."
The note.,గమనించండి.
Never better.,ఎప్పుడూ మంచి.
I can't tell you what that means to me.,నేను నాకు అర్థం చెప్పలేను.
"You need to stay here with me, baby, please.","మీరు నన్ను ఇక్కడ ఉండడానికి అవసరం, శిశువు, దయచేసి."
Olympus has fallen.,ఒలింపస్ పడిపోయింది.
Open your textbooks to page 207.,పేజీ 207 పుస్తకంలో తెరువు.
"He's turning something, and we're having a little party at the house and when I asked him who he would like to perform at the party he told me he wanted you.",నాకు తెలీదు.
If you attempt any operation to retake this building...,మీరు ఈ భవనం తీసుకోవాలని ఏ ఆపరేషన్ ప్రయత్నం ఉంటే...
NOW THE CAR IS PARKED UP THERE ON THE TRACK.,NOW CAR TRACK న UP నిలిపి ఉంచిన.
He shouldn't see you like this.,అతను ఇలా మీరు చూడండి ఉండకూడదు.
- Who else is in the-- - ( growling ),- మీ ప్రియుడు యొక్క తిరిగి
( car approaches ),(కారువిధానాలు)
"If you'll excuse me, I'm going to go lie down.","మీరు నన్ను మన్నించు ఉంటుంది ఉంటే, నేను నేలపై పడుకుని వెళ్ళడానికి వెళ్ళిపోతున్నాను."
We are an effective team.,మేము ఒక ప్రభావవంతమైన జట్టు.
You're curious.,మీరు ఆసక్తికరమైన ఉన్నాయి.
Pass me the salt.,నాకు ఉప్పు పాస్.
They're just in here.,వారు ఇక్కడ మాత్రమే
Especially you.,ముఖ్యంగా మీరు.
Here we go again.,ఇక్కడ మేము మళ్ళీ వెళ్ళి.
You saw the way those frat guys treated us today.,మీరు ఆ frat అబ్బాయిలు నేడు మాకు చికిత్స మార్గం చూసింది.
I'll see you on the other side.,నేను ఇతర వైపు మీరు చూస్తారు.
- Of course you do.,- మీరు కోర్సు యొక్క.
This morning.,ఈ ఉదయం.
"So this guy you're looking for, is he your boyfriend?","మీరు కోసం చూస్తున్నాయి ఈ వ్యక్తి కాబట్టి, అతను మీ ప్రియుడు ఉంది?"
I tied...,నేనువేసిన...
(SHUSHING),(SHUSHING)
Then walk away before I change my mind.,నా మనసు మార్చుకుంటే ముందు అప్పుడు దూరంగా నడిచి.
Reggie's about to get a life sentence.,రెగ్గీ జీవిత ఖైదు పొందుటకు గురించి.
"That's all he needs, more confidence.","అతను అవసరం అన్ని ఆ , మరింత విశ్వాసం."
Brothers?,బ్రదర్స్?
SVD Dragunovs and Type 50s.,SVD Dragunovs మరియు పద్ధతి 50.
[ CLASSICAL MUSIC PLAYS ],[శాస్త్రీయసంగీతంనాటకాలు]
318?,318?
Slowly and surely,నెమ్మదిగామరియుతప్పనిసరిగా
I'd not be moving if I were you.,ఎల్ d l మీరు ఒకవేళ కదిలే కాదు.
Dump it all right fucking now!,ఇప్పుడు నాశనం అన్ని డంప్!
That ain't a fucking bed.,ఆ ఎ ఫకింగ్ మంచం కాదు.
"Don't wanna talk about my family, Mr. Wells.","నా కుటుంబం, మిస్టర్ వెల్స్ గురించి వన్నా చర్చ లేదు."
Where did it go?,అది ఏమి అయ్యాయి?
What happened to those idiots I sent to collect you?,మీరు సేకరించడానికి పంపిన ఆ ఇడియట్స్ l జరిగింది?
Rick the implausible.,రిక్ హేతు బద్దంగా కన్పించని.
Where is Gigglesworth?,- Gigglesworth ఎక్కడ ఉంది?
"Welcome to Bally's, boys.",బల్లి యొక్క అబ్బాయిలు స్వాగతం.
"You just got hypnotized and transported to another realm, y'all.","మీరుహిప్నోటైజ్మరొకరాజ్యం రవాణా కాకముందు, వై 'ఆల్"
What you wanna do?,మీరు ఏమి అనుకుంటున్నారు?
He's hooked.,అతను కట్టిపడేశాయి ఉంది.
Do you really think I done something like that?,మీరు నిజంగా నేను అలాంటిదే పూర్తి అనుకుంటున్నారా?
Knock off the burn.,మంటఆఫ్నాక్.
"This is Victor, is Beatrice...","ఈ విక్టర్ ఉంది, బీట్రైస్ ఉంది..."
I got a camera.,నేను ఒక కెమెరా వచ్చింది.
Not being able to leave my house without wondering if some coward is gonna sneak up behind me and...,Wondering లేకుండా నా ఇంటిని సామర్థ్యం లేదు కొన్ని పిరికివాడు నాకు వెనకాల పిరికి పంద మరియు చెప్పేవాడు ఉంటే...
"No. No, at least not that I can remember.","తోబుట్టువుల సంఖ్య నం, నేను గుర్తుంచుకోగలరు కనీసం లేదు ."
28?,28?
- DON'T HANG UP.,- హాంగ్ అప్ ఒప్పుకోరు.
- Not like they're hard to replace.,- వారు తిరిగి పొందటం కష్టం కావు వంటి.
Tiger One is hit!,టైగర్ వన్ హిట్!
"Oh, now, honey, I didn't forget about you.","ఓహ్, ఇప్పుడు, తేనె, నేను మీ గురించి మర్చిపోతే లేదు ."
I do not know.,నాకు తెలీదు.
Act like you're in a movie or something.,చట్టం. మీరుఒక చిత్రం లేదా ఏదో లో లాగ
Military service.,మిలిటరీ సేవ.
"At least we got into college, skinny Danny Glover.","కనీసం మేము కళాశాల, స్నానం చెయ్యడం డానీ గ్లోవర్ లోకి వచ్చింది."
"AND, ADAM...",మరియు ఆడమ్...
Call in an air strike!,ఒక వైమానికదాడిలోకాల్
"What, you're not gonna tow it?","ఏమిటి, మీరు ఒక డ్రా వెళ్ళడం లేదు చేస్తున్నాం?"
"Yeah, sometimes kids'll take a car out for a joy ride and then dump it in the fields.","అవును, కొన్నిసార్లు kids'll ఒక ఆనందం రైడ్ కోసం ఒక కారు చేద్దామని ఆపై ఖాళీలను అది డంప్."
